id_localid,name,x,y,powiat,wojewodztwo
153210100,Ruciane-Nida,21.566944,53.644444,piski,warmińsko-mazurskie
153210110,Mikołajki,21.5875,53.78916699999999,mrągowski,warmińsko-mazurskie
153210120,Walery,21.619444,53.147222,ostrołęcki,mazowieckie
153210130,Głodowo,21.655556,53.726110999999996,piski,warmińsko-mazurskie
153210140,Szkwa,21.685833,53.180277999999994,ostrołęcki,mazowieckie
153210150,Jagodne Małe,21.711389,53.91722200000001,giżycki,warmińsko-mazurskie
153210160,Pogubie Średnie,21.7575,53.56222199999999,piski,warmińsko-mazurskie
153210170,Ptaki,21.7925,53.393056,kolneński,podlaskie
153210180,Zaruzie,21.800278,53.148332999999994,łomżyński,podlaskie
153210190,Pisz,21.806389,53.624444,piski,warmińsko-mazurskie
153210200,Maldanin,21.823889000000005,53.650556,piski,warmińsko-mazurskie
153210210,Nowogród,21.865278,53.226666999999985,łomżyński,podlaskie
153210220,Dobrylas,21.864722,53.285833,łomżyński,podlaskie
153210230,Mikosze,21.923056,53.80583299999999,piski,warmińsko-mazurskie
153210240,Orzysz-Buda,21.968889,53.804167,piski,warmińsko-mazurskie
153210250,Karwik,21.786111,53.684166999999995,piski,warmińsko-mazurskie
153210260,Rostki,21.887222,53.696110999999995,piski,warmińsko-mazurskie
153215510,Rzekuń,21.631667,53.050833,ostrołęcki,mazowieckie
153219988,Ruda,21.994722,53.670832999999995,piski,warmińsko-mazurskie
153220010,Piątnica-Łomża,22.093332999999998,53.193332999999996,łomżyński,podlaskie
153220020,Rożyńsk,22.165278,53.824443999999986,ełcki,warmińsko-mazurskie
153220030,Gać,22.247778,53.07833299999998,łomżyński,podlaskie
153220040,Malinówka,22.31,53.90138899999999,ełcki,warmińsko-mazurskie
153220050,Ełk,22.344167,53.820277999999995,ełcki,warmińsko-mazurskie
153220060,Ełk,22.383333,53.831666999999996,ełcki,warmińsko-mazurskie
153220070,Wizna,22.408611,53.201110999999976,łomżyński,podlaskie
153220080,Prostki,22.439166999999998,53.70055599999999,ełcki,warmińsko-mazurskie
153220090,Czachy,22.446111,53.378056,grajewski,podlaskie
153220100,Burzyn,22.459167,53.274167,moniecki,podlaskie
153220110,Chełchy,22.467778,53.87944399999999,ełcki,warmińsko-mazurskie
153220120,Sordachy,22.473333,53.82249999999999,ełcki,warmińsko-mazurskie
153220130,Strękowa Góra,22.538611000000003,53.21972199999998,moniecki,podlaskie
153220140,Przechody,22.586389,53.55499999999999,grajewski,podlaskie
153220150,Kucze,22.596943999999997,53.78222199999999,ełcki,warmińsko-mazurskie
153220160,Osowiec,22.626667,53.48666699999999,moniecki,podlaskie
153220170,Osowiec,22.638610999999997,53.48277799999999,moniecki,podlaskie
153220180,Zawady,22.673611,53.15694399999999,białostocki,podlaskie
153220190,Rajgród,22.699722,53.732777999999996,grajewski,podlaskie
153220200,Rajgród,22.701667,53.730556,grajewski,podlaskie
153220210,Dręstwo,22.746389,53.726666999999985,augustowski,podlaskie
153220220,Woźnawieś,22.749444,53.683610999999985,grajewski,podlaskie
153220230,Kulesze-Chobotki,22.764722,53.241667,moniecki,podlaskie
153220240,Raczki,22.786111,53.990832999999995,suwalski,podlaskie
153220250,Stare Dolistowo,22.906944,53.553332999999995,moniecki,podlaskie
153220260,Dębowo,22.930278,53.609721999999984,augustowski,podlaskie
153220270,Babino,22.9425,53.154167,białostocki,podlaskie
153220280,Białobrzegi,22.966389,53.80416700000001,augustowski,podlaskie
153220290,Szczebra,22.975278,53.90611099999999,augustowski,podlaskie
153220300,Augustów,22.985,53.84722199999999,augustowski,podlaskie
153220310,Czarna Wieś,22.639444,53.711111,grajewski,podlaskie
153220320,Borzymy,22.683056,53.81777799999999,ełcki,warmińsko-mazurskie
153225510,Grajewo,22.449722,53.65055599999999,grajewski,podlaskie
153229999,Ruda,22.0025,53.664167,piski,warmińsko-mazurskie
153230010,Fasty,23.026667,53.178611000000004,białostocki,podlaskie
153230020,Karpowicze,23.043332999999997,53.585278,sokólski,podlaskie
153230030,Sajenek,23.081389,53.83277799999999,augustowski,podlaskie
153230040,Przewięź,23.091667,53.86722199999999,augustowski,podlaskie
153230050,Przewięź,23.0925,53.86694399999999,augustowski,podlaskie
153230060,Zawady,23.106667,53.16027799999999,Białystok,podlaskie
153230070,Sztabin,23.116389,53.67194399999999,augustowski,podlaskie
153230080,Sochonie,23.180556,53.216944,białostocki,podlaskie
153230090,Sucha Rzeczka,23.202221999999995,53.889999999999986,augustowski,podlaskie
153230100,Jastrzębna,23.211111,53.740277999999996,augustowski,podlaskie
153230110,Supraśl,23.338333,53.212499999999984,białostocki,podlaskie
153230120,Jałowy Róg,23.405833,53.9,sejneński,podlaskie
153230130,Harasimowicze,23.448889,53.662499999999994,sokólski,podlaskie
153230140,Sokołda,23.476389,53.247222,białostocki,podlaskie
153230150,Załuki,23.544444,53.160277999999984,białostocki,podlaskie
153230160,Gródek,23.671667,53.095,białostocki,podlaskie
153230170,Nowosiółki,23.526111,53.175278,białostocki,podlaskie
153235510,Białystok,23.161111,53.107777999999996,Białystok,podlaskie
153235520,Białystok,23.178333,53.116944,Białystok,podlaskie
153235530,Dalny Las,32.188611,53.92611099999999,białostocki,podlaskie
154150010,Trzebiatów,15.260832999999998,54.063332999999986,gryficki,zachodniopomorskie
154150020,Dźwirzyno,15.398611,54.15111099999999,kołobrzeski,zachodniopomorskie
154150030,Kołobrzeg,15.553333000000002,54.18666699999999,kołobrzeski,zachodniopomorskie
154150040,Bardy,15.713889000000002,54.091667,kołobrzeski,zachodniopomorskie
154150050,Białogard,15.976389000000001,54.003055999999994,białogardzki,zachodniopomorskie
154155510,Mierzyn,15.885833000000003,54.11166699999999,białogardzki,zachodniopomorskie
154155530,Gdańsk Świbno,18.904167,54.338610999999986,Gdańsk,pomorskie
154160010,Unieście,16.078611,54.262499999999996,koszaliński,zachodniopomorskie
154160020,Białogórzyno,16.116667,54.0625,białogardzki,zachodniopomorskie
154160030,Koszalin,16.188889,54.18555599999999,Koszalin,zachodniopomorskie
154160040,Sianów,16.283611000000004,54.222778,koszaliński,zachodniopomorskie
154160050,Bukowo Morskie,16.310833000000002,54.37666699999998,sławieński,zachodniopomorskie
154160060,Grabowo,16.436944,54.29888899999999,sławieński,zachodniopomorskie
154160070,Stary Kraków,16.606389,54.44222199999998,sławieński,zachodniopomorskie
154160080,Cybulino,16.6175,54.039999999999985,koszaliński,zachodniopomorskie
154160090,Krąg,16.723056,54.242778,sławieński,zachodniopomorskie
154160100,Pieszcz,16.769722,54.457221999999994,sławieński,zachodniopomorskie
154160110,Ustka,16.853889000000002,54.588055999999995,słupski,pomorskie
154160120,Korzybie,16.878333,54.28055599999998,słupski,pomorskie
154160130,Ciecholub,16.902222,54.16583299999999,słupski,pomorskie
154160140,Charnowo,16.9275,54.54611099999999,słupski,pomorskie
154160150,Darłowo,16.380278,54.43916699999999,sławieński,zachodniopomorskie
154165510,Dobiesław,16.349167,54.322777999999985,sławieński,zachodniopomorskie
154169994,Broczyna,16.968056,54.15361099999999,bytowski,pomorskie
154169995,Broczyna,16.966667,54.15083299999999,bytowski,pomorskie
154169996,Polanów,16.693056,54.121667,koszaliński,zachodniopomorskie
154169997,Sławno,16.690556,54.366388999999984,sławieński,zachodniopomorskie
154170010,Słupsk,17.031389,54.47,Słupsk,pomorskie
154170020,Krępa,17.049167,54.41861099999999,słupski,pomorskie
154170030,Skarszów Dolny,17.118611,54.36499999999999,słupski,pomorskie
154170040,Kwisno,17.130278,54.085277999999995,bytowski,pomorskie
154170050,Gardna Wielka,17.164722,54.639166999999986,słupski,pomorskie
154170060,Smołdzino,17.214722,54.661667,słupski,pomorskie
154170070,Gałąźnia Mała,17.301944,54.28833299999999,bytowski,pomorskie
154170080,Łupawa,17.415556,54.419444,słupski,pomorskie
154170090,Izbica,17.428056,54.681110999999994,słupski,pomorskie
154170100,Łeba,17.550556,54.763332999999996,lęborski,pomorskie
154170110,Cecenowo,17.564167,54.65444399999999,słupski,pomorskie
154170120,Soszyca,17.579722,54.25,bytowski,pomorskie
154170130,Pogorzelice,17.595278,54.48833299999999,lęborski,pomorskie
154170140,Jasień,17.613611,54.289444,bytowski,pomorskie
154170150,Zawiaty,17.620278,54.3325,bytowski,pomorskie
154170160,Lębork 2,17.7475,54.541944,lęborski,pomorskie
154170170,Gowidlino,17.777222,54.316389,kartuski,pomorskie
154170180,Wawrzynowo,17.8975,54.045556,kościerski,pomorskie
154170190,Borucino,17.991389,54.253333,kartuski,pomorskie
154170210,Kluki,17.3575,54.68305599999999,słupski,pomorskie
154170220,Rąbka,17.530278,54.75972199999999,lęborski,pomorskie
154170230,Obrowo,17.599167,54.26277799999999,bytowski,pomorskie
154170240,Borucino,17.98,54.255555999999984,kartuski,pomorskie
154170250,Czołpino,17.248889,54.699721999999994,słupski,pomorskie
154170260,Łokciowe,17.286111,54.700832999999996,słupski,pomorskie
154170270,Izbica_2,17.437222,54.681944,słupski,pomorskie
154170280,Pustynka,17.343056,54.665833,słupski,pomorskie
154170290,Gać,17.448056,54.69249999999999,słupski,pomorskie
154170300,Żarnowska,17.523333000000004,54.72,lęborski,pomorskie
154170310,Łeba - Miasto,17.548611,54.75666699999999,lęborski,pomorskie
154175510,Borzytuchom,17.373056,54.201111,bytowski,pomorskie
154175520,Ugoszcz,17.541944,54.13111099999999,bytowski,pomorskie
154179991,Stężyca,17.954444,54.206667,kartuski,pomorskie
154179994,Kozin,17.623611,54.377777999999985,bytowski,pomorskie
154179995,Łeba,17.575278,54.761389,lęborski,pomorskie
154179996,Jeleń,17.519444,54.197222,bytowski,pomorskie
154179997,Jutrzenka,17.336944,54.205832999999984,bytowski,pomorskie
154179998,Damno,17.327778,54.529444,słupski,pomorskie
154179999,Kwisno,17.134722,54.081944,bytowski,pomorskie
154180010,Sarnowy,18.016111,54.072778,kościerski,pomorskie
154180020,Miłoszewo,18.029444,54.44,wejherowski,pomorskie
154180030,Zamostne,18.103056000000002,54.650278,wejherowski,pomorskie
154180040,Ostrzyce,18.111389,54.256389,kartuski,pomorskie
154180050,Warszkowski Młyn,18.153056,54.691666999999995,wejherowski,pomorskie
154180060,Goręczyno,18.164722,54.26361099999999,kartuski,pomorskie
154180070,Bolszewo,18.166667,54.61083299999999,wejherowski,pomorskie
154180080,Wejherowo,18.225,54.61333299999999,wejherowski,pomorskie
154180090,Puck,18.410833,54.72249999999999,pucki,pomorskie
154180100,Władysławowo,18.418611,54.79666700000001,pucki,pomorskie
154180110,Zapowiednik,18.469444,54.038610999999996,starogardzki,pomorskie
154180120,Gdynia,18.555278,54.517778,Gdynia,pomorskie
154180130,Juszkowo,18.605,54.255832999999996,gdański,pomorskie
154180140,Gdańsk-Port Północny,18.698056,54.39972199999999,Gdańsk,pomorskie
154180150,Tczew,18.805556,54.087222000000004,tczewski,pomorskie
154180160,Gdańsk-Sobieszewo,18.815278,54.346388999999995,Gdańsk,pomorskie
154180170,Wiślina,18.725278000000003,54.30749999999999,gdański,pomorskie
154180180,Suchy Dąb,18.731944,54.23138899999999,gdański,pomorskie
154180190,Gdańsk-Przegalina,18.923889,54.30861099999999,Gdańsk,pomorskie
